# x y z vx vy vz lxvel lyvel lzvel Potential U rho
0.167932 -0.227129 -0.086740 22.270559 -11.409050 -27.206598 -25.661901 -0.797493 -23.389589 -164270.406250 702.626404 0.006426
0.170316 -0.231437 -0.071959 22.920490 3.481564 -29.786688 -28.241991 14.093121 -24.039520 -163815.156250 797.898499 0.008194
0.102061 0.136488 -0.156234 -55.398716 20.946133 -11.696455 -10.151758 31.557690 54.279686 -164842.296875 1117.395996 0.016473
0.223363 -0.064558 -0.209253 -19.203720 8.906288 -40.995853 -39.451157 19.517845 18.084690 -163345.421875 705.183350 0.005222
-0.070473 -0.282936 -0.034195 25.131836 -57.911583 -25.954632 -24.409935 -47.300026 -26.250866 -164547.218750 746.246094 0.005517
0.051709 -0.301900 0.080833 24.335464 -50.965935 -15.345137 -13.800440 -40.354378 -25.454494 -164067.390625 881.357727 0.009989
0.066261 -0.306125 0.076911 25.251097 -21.054504 -19.984356 -18.439659 -10.442947 -26.370127 -162719.968750 741.647461 0.007116
0.218169 -0.017827 -0.219131 -19.965862 12.394009 -47.637238 -46.092545 23.005566 18.846832 -163187.359375 728.558655 0.005728
-0.068701 -0.283691 -0.039822 35.521400 -41.080299 -11.037586 -9.492889 -30.468742 -36.640430 -163373.453125 861.961975 0.004273
0.175755 0.088443 -0.193260 -45.123997 26.394985 -42.387707 -40.843010 37.006542 44.004967 -164052.734375 837.047791 0.009006
0.245405 -0.162397 -0.180050 -10.556110 31.053087 -21.369350 -19.824654 41.664642 9.437080 -162354.375000 807.309387 0.008385
-0.208583 -0.217306 0.182013 -12.534054 -41.079582 29.677753 31.222450 -30.468025 11.415024 -162814.937500 683.203491 0.002652
0.005819 0.174342 -0.179667 -51.339741 27.871357 -20.605923 -19.061226 38.482914 50.220711 -163658.171875 1031.359741 0.013854
-0.013414 -0.299194 -0.029422 43.293961 -31.516678 -32.440742 -30.896046 -20.905121 -44.412991 -163426.828125 896.358093 0.010338
-0.037432 0.202106 -0.101994 -66.529839 22.246998 8.124092 9.668789 32.858555 65.410812 -164446.375000 1552.650391 0.034996
-0.020109 0.188393 -0.145216 -62.773796 11.172604 2.843723 4.388420 21.784161 61.654766 -164016.281250 1623.517944 0.038971
0.202261 -0.225498 -0.153239 9.387768 11.595371 -26.201311 -24.656614 22.206928 -10.506798 -161768.343750 950.719971 0.011670
0.029125 -0.291896 -0.110600 24.873741 -24.106384 -47.292061 -45.747364 -13.494827 -25.992771 -162890.875000 893.170532 0.010263
-0.297649 -0.143706 0.150259 2.207897 -37.960388 5.941200 7.485897 -27.348831 -3.326927 -161843.578125 805.344849 0.008345
0.145156 0.123139 -0.169981 -65.253563 24.041805 -37.767422 -36.222725 34.653362 64.134537 -164255.968750 955.645386 0.011796
0.053503 -0.325091 -0.044936 34.201050 -3.396709 -30.448763 -28.904066 7.214848 -35.320080 -162286.546875 1108.265869 0.016180
0.092662 -0.324691 0.005626 37.152641 16.317635 -28.247194 -26.702497 26.929192 -38.271671 -162312.734375 993.514954 0.012798
-0.304788 -0.111085 0.168113 -54.785061 -38.580978 20.740433 22.285130 -27.969421 53.666031 -162991.484375 618.971802 0.004182
0.154759 -0.221197 -0.184738 20.496073 -50.922867 -35.003624 -33.458927 -40.311310 -21.615103 -162527.250000 713.587952 0.004679
0.023133 0.186996 -0.093739 -76.074074 -8.396515 29.036686 30.581383 2.215042 74.955048 -164884.843750 1814.623779 0.051267
0.052662 0.169934 -0.210189 -52.139847 24.853924 6.816151 8.360847 35.465481 51.020817 -162999.859375 1582.364502 0.036626
-0.255568 -0.239139 0.000958 18.591795 -45.497772 -3.347649 -1.802952 -34.886215 -19.710825 -161406.437500 586.865051 0.004637
-0.382818 -0.062593 0.108958 -11.819839 -30.372215 8.045105 9.589802 -19.760658 10.700809 -160803.953125 679.131653 0.006033
