theta,r,brazo
3.0880956565836386,4.84832130731617,1
3.1108857152561393,4.807266432712758,1
3.0950990231928355,4.933445325248634,1
3.081148806294021,4.96030105269453,1
3.1401941896252743,5.252163267729639,1
3.1332454589322056,4.875389495438638,1
3.083423337712874,5.4951582653975874,1
3.131310490610915,5.3431536985415,1
3.105684014574771,5.022543040042242,1
3.139727945891917,5.134931636637879,1
3.12680726223232,5.282818837580678,1
3.0948796417575006,5.390004525421861,1
3.122053019878975,5.301307241830078,1
3.1317783304480478,5.060226738392761,1
3.069353370817503,5.088694130600245,1
3.102720503825591,5.104340498454539,1
3.0885800609678036,5.169124258708407,1
3.1191992911304807,5.065260569836917,1
3.1221528688045495,5.048193809098862,1
3.1109089860457644,5.365741589612862,1
3.0867451077544117,5.335434789805179,1
3.108506293313893,5.23527720603699,1
3.1389537076549248,5.14791214882321,1
3.116489727468333,5.187163636385977,1
3.0907181903743384,5.260164247543757,1
3.1131475471325705,5.504785524379533,1
3.079356171626413,5.445379834476893,1
3.0956041974395236,5.381724860602015,1
3.139009792933804,5.341199958891113,1
3.079860680790996,5.517377397255668,1
3.1185738996660475,5.092227954738822,1
3.1182355906085686,5.266479650298323,1
3.047845344405671,5.497011408633326,1
3.038445812873108,5.4340414923303,1
3.1165384066729382,5.423384442033606,1
3.0282521182020483,5.509944871485671,1
3.098282974572268,5.153677131284324,1
3.1061537288037697,5.278270409343905,1
3.12798166057883,5.4713199738338405,1
3.092597941985223,5.274068057511809,1
3.068804848120777,5.373989081266616,1
3.0131357286887988,5.803268156489688,1
3.0625030104482938,5.537280597539488,1
3.0652608538554373,5.278793001526131,1
3.1399092865237135,5.338572485776381,1
3.091393828434941,5.472648647584225,1
3.052298684554032,5.154277971793173,1
3.093658068432602,5.184024673525464,1
3.06989057477081,5.294498688712786,1
3.0709950773310744,5.1621543374352825,1
2.995215242789211,5.498734706015195,1
3.0300859298696436,5.427017129313738,1
3.0950808582720333,5.323757555544413,1
3.1032441198234353,5.531925497131455,1
3.003276477623481,5.45612214133915,1
3.0476081488771087,5.240251284754349,1
3.0505638406882043,5.457300608591887,1
3.074445418108876,5.479713277447331,1
3.0707718628352176,5.374485128365722,1
3.0418615146090366,5.566331153828976,1
3.043280054447822,5.36632576630233,1
3.0561183485028893,5.36356266094137,1
3.0543050763870885,5.509052008918547,1
3.097333547186734,5.571527386433199,1
3.0756901686020677,5.486560682828221,1
3.066723451624171,5.639331544749704,1
2.9875889009457586,5.636069123526267,1
2.9673846879695702,5.527690815417627,1
2.9772954042980095,5.525408776571001,1
3.018627804529038,5.529013814187353,1
3.0433551305792856,5.6839283024605685,1
2.996076343425128,5.390836801092398,1
2.996518673975611,5.693607303015041,1
3.05308055240736,5.2528560834859075,1
3.071525377914133,5.626986060594096,1
3.05586634955428,5.2001382764929875,1
3.0106464631142873,5.840171245213488,1
3.13212477571596,5.446339582226165,1
2.9434343942232095,5.650157606564484,1
3.0382096164642505,5.367444703365256,1
3.0356663945773654,5.648208742075057,1
3.0060011703325666,5.612276397358054,1
3.0761885844915633,5.647213564471796,1
3.0166718077471733,5.317371004278449,1
3.1151320712068697,5.4216944757471754,1
3.043223423036879,5.432841695853548,1
2.9463285466720355,5.52838188369232,1
2.9627945934325575,5.689956693829303,1
2.919405842783606,5.62498022307665,1
3.0456609320982477,5.571824568000401,1
3.031366643769046,5.19837705569691,1
3.0156599564276863,5.288033468403246,1
3.0283291626627755,5.245751962627807,1
3.008759104336007,5.67752167669297,1
3.065075835938141,5.413149133932945,1
2.980958828307843,5.890677356341254,1
2.8844392671049035,5.929064743729851,1
2.9216314966127777,5.579236861293777,1
2.996252864352671,5.273308831158649,1
2.9729578675127417,5.301508052378608,1
2.9301817115753925,5.808865993039959,1
2.8842991502553503,5.67968422196871,1
2.9700702542442734,5.760529827153796,1
2.9046681690925826,5.598397789216923,1
2.9871789464888665,5.660073550928716,1
2.928127036975759,5.66679695657953,1
3.0187853536057614,5.775317300201796,1
3.009787035349245,5.57988438236518,1
2.864709196935419,5.707983300382861,1
2.9971442228998115,5.880320571101039,1
2.96150888393758,5.634302212177694,1
2.873774215955246,5.844124937529503,1
2.970985088323513,5.7530763081821705,1
2.902865156455123,5.651441995819554,1
3.032720426343502,5.471564945945125,1
3.014226461570091,5.44203215932799,1
3.027303540906198,5.570870029445982,1
2.9741079298808493,5.428390111147354,1
2.9687767417895943,5.4315015830471,1
2.864274505914616,5.844244633793835,1
2.893895095646993,5.746184352725128,1
3.0584798724032543,5.778799179112582,1
2.900680752193141,5.871080805687243,1
3.03437245115886,5.544525774458812,1
2.940418506367749,5.8041228531958895,1
2.9139733242733006,5.797115284958792,1
2.949272754513172,5.427653026931493,1
2.8939761051490147,5.594384204324183,1
3.002204096304615,5.4100990663373425,1
2.957785314509231,5.760269468155942,1
2.9398622058408144,5.73200457154442,1
2.87388806284962,5.672691078775387,1
2.9613553699302084,5.855071350412314,1
3.050861223408004,5.581961490407735,1
2.9360603737930715,5.4739870482251165,1
2.918710727628779,5.781825900863936,1
2.9460600336194096,5.565509680133561,1
2.856664192936849,6.007612074724644,1
2.951551129965328,5.388917575462528,1
3.0286082273238955,5.704142521047758,1
2.8975785192120784,6.039466655446382,1
2.987707050722081,5.681994580717825,1
2.8972938390459757,5.589721844720207,1
3.0007428897938344,5.4550799263546805,1
2.986894263006496,5.358982515857918,1
2.8883045695290255,5.843403087675579,1
2.8543228904811304,5.7418646445725114,1
2.954517189340795,5.888194236076385,1
2.8791912303599667,5.578091321242401,1
2.880107241600787,5.790420044335138,1
3.0313167751922974,5.714126680497593,1
2.9900436274718682,5.837973055147644,1
2.8521974273568897,5.627603009745679,1
2.977636513231109,5.968507789257376,1
3.046282696485289,5.733223962301565,1
2.8751172355802566,6.008639220091211,1
2.928972801433504,5.463396145296504,1
2.9071646930303854,5.984133992996741,1
2.881504798749628,5.4955015433731695,1
2.8728742384175643,5.8462765496403195,1
2.855699404708178,5.755296361315368,1
2.837171297736182,5.7376586841568304,1
2.8908018169442204,5.752343212256099,1
2.909081189350135,5.470761159805809,1
2.985173607218236,5.714947418098417,1
2.93190457601649,6.031744011634544,1
3.01676252340377,5.647616295834518,1
2.985296817254515,5.873990658206426,1
2.972384666585105,5.6043445341143165,1
2.9003695054254135,5.476619113007842,1
2.9246862361534154,5.398562433605084,1
2.8940734136159896,5.631810170291941,1
3.060032787230337,5.705786971409461,1
2.9744922562336105,5.493775550958844,1
2.996883009614596,5.819358847456398,1
