halo_id,arm,y_max
11,1,6.407718005198354e-05
11,2,5.971632035151816e-05
117260,1,0.0004031190409510819
117260,2,0.00022061676433149404
167397,1,8.94047857852042e-06
167397,2,1.2758109759554424e-05
17,1,1.4277905542247978e-05
17,2,2.1768311947394174e-05
198184,1,6.39890474814467e-05
198184,2,7.736950186033893e-05
198185,1,5.319551628885127e-05
198185,2,6.766169163462559e-05
289387,1,2.4995486994127472e-05
289387,2,2.2631402745955052e-05
418336,1,3.353285521084366e-05
418336,2,6.215807233350793e-05
